name	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Westdeutsche Zeitung	234993.9185021777	-0.010341557143431332	207779			204033	201021	198836	195967	198563	195172	192912	190311	192830	189808	187741	184751	186646	184067	182778	178179	179481	176310	175291	170387	172972	170202	169730	164815	166258	165223	165274	159693	161619	159876	158366	147895	150654	145731	142235	139111	140245	138056	136188	133753	136483	134564	130532	125229
Berliner Kurier	157434.99033178782	-0.007341797561733825	139561			136542	134628	132481	131188	130539	131620	129478	136024	136004	134963	138025	139995	137138	137757	138809	137874	134473	132956	133770	131945	131415	129162	130336	130757	121469	120353	123010	122887	116815	118795	121465	118371	117085	110318	114761	110251	106764	102659	103530	102783	99346	96352	100230	95734
Märkische Allgemeine	201509.15716559373	-0.008981085355255105	187873			183478	180100	178726	175458	176331	173502	172411	170625	170421	166784	165169	162043	161836	159717	157652	155179	155634	154029	152531	149644	149880	149157	147850	145412	145726	144943	143594	140194	141475	139639	138833	136147	136372	135113	133952	131284	132313	131140	130028	126858	128036	126983	125149	121846
Mitteldeutsche Zeitung	320963.2564600394	-0.010047826683605437	299314			288635	286778	281421	275930	276764	273122	268459	263167	263367	259285	256246	251945	251612	248650	245667	240982	241123	238655	235265	231408	232108	228703	224735	220959	220208	219662	216169	212389	212631	211947	208721	205206	206321	204945	202831	199310	199988	198799	196366	193233	194959	193079	191651	188128
Morgenpost	109121.9040283063	-0.0031890652221119513	102074			101972	103256	102255	99926	99315	100476	101572	101254	100570	100666	99875	99960	99349	99308	97386	96128	108397	105742	106645	104744	103102	104186	104164	102514	99796	100504	100219	97905	97196	98379	99471	97333	95840	94501	95406	93075	94964	89930	89585	88665	89362	85020	85706	83027
Südkurier	149068.3251709038	-0.0030905103908550695	145331			144624	143269	142710	141153	142393	141561	141289	139726	140296	143747	140178	138155	138169	139953	138083	135688	136279	137568	136046	133122	133500	135879	133997	132047	131911	133245	132076	129859	131088	131191	129499	128357	128850	129383	130085	127726	128553	129469	127768	126563	128052	130216	127996	126489
Thüringer Allgemeine, Ostthüringer Zeitung, Thüringische Landeszeitung	451504.385941561	-0.009666827371450398	419996			407868	403723	398394	391981	400082	386007	380568	373569	371915	366843	362804	356290	355592	351485	347479	342238	341577	337910	333866	328544	327120	325020	321442	316481	314854	313603	309689	304848	306240	303435	301105	297045	296558	292596	291988	287841	287417	284260	281952	277761	277263	274258	272041	268377
Leipziger Volkszeitung	312816.99707884743	-0.008963630137698816	292742			285163	282875	279116	274885	274366	272759	270770	265554	265933	261977	259249	253463	251530	249238	244419	238640	238437	236996	234049	230409	228628	227800	224461	220876	221380	223998	219624	214200	216522	216572	213363	209305	211221	211148	209072	204095	206599	207520	203287	198619	201272	200257	200696	193673
Freie Presse	394865.87141738314	-0.008427061046381204	376930			367645	364100	357606	352579	353898	336147	331339	327914	330492	329479	323559	318739	319085	317426	312340	308668	309712	306488	303421	300791	300592	297102	294775	291370	291408	287385	286285	281974	282744	278635	277221	273559	274314	271115	269646	266041	266635	263527	261126	257850	258557	255807	253760	250793
Mannheimer Morgen	156310.65042318346	-0.005413838182835153	147307			144436	144512	142662	140783	142175	140896	140037	138112	139653	139635	139056	137640	139516	139040	137461	135870	137114	136838	134992	132445	134139	133915	131953	130229	131343	130308	128084	125464	127461	127321	124596	122093	124244	123556	120967	118806	120535	120105	117425	116081	116684	116397	114567	112242
