title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Neue Revue		311553	-0.01238549300073342	285575			262825	258879	255188	276185	228979	251928	237235	254437	239358	249320	244730	258914	237364	241341	210190	224925	208829	210607	210437																									
Neue Post		1237563	-0.012971074310687006	1168936			1088921	1072687	1035969	1053441	996175	1009350	989479	1000850	945017	957633	920798	943818	881122	902000	869370	869557	802843	818773	786995	803795	773043	772316	765227	775562	739993	716821	710088	747464	702745	716687	703357	708621	688283	698877	696210	706372	654908	687575	678263	699734	633632	649147	623228	652469
Das Neue		413944	-0.01983149958692077	372025			332413	321293	306063	307124	285732	294722	291696	297065	275123	273577	264124	284620	248755	254362	234836	234925	215385	204530	196110	246774	213350	228442	210238	219203	190450	200247	181594	190460	181262	205388	185289	186042	173709	179109	163559	169694	155236	153516	151275	151120	140415	146995	143387	143918
Das Neue Blatt		928963	-0.01456051359161696	900405			817981	794106	752628	780901	724552	722887	712815	742699	678209	668163	655732	684100	634277	629978	610607	627871	577946	590385	570359	577339	534269	538684	536906	553095	519689	525928	523011	527601	501329	501146	475556	509713	474562	496775	483642	489530	478878	464722	467024	463849	446962	453582	450496	447849
Psychologie heute		95497	-0.002012484248550109	102913			87326	94552	87057	98290	82170	97358	94382	88697		86795	90760	89018	89205	89296	86680	91186	83354	88208	81316	92030	86054	88666	92621	91627	98928	99132	88454	93754	90986	92423	88123	90217	101427	90357	86176	91416	81428	78189	83466	87111	76513	80907	77458	87715
PC-Welt		720241	-0.023339893652802497	516515			505853	492853	453631	454892	468759	470815	443127	422790	427495	433248	433311	413133	428632	425051	409843	409995	400878	400759	406876	403819	411282	395831	377195	378493	364447	346604	344053	336808	318897	285508	277587	258542	249503	243614	238507	235205	212138	209795	197664	178991	151066	113177	105915	107852
P.M.		548287	-0.016431836969144235	417664			411072	398205	410381	427881	416355	410447	411290	422792	413466	400682	400303	385396	366581	359514	360906	377144	342325	338695	341098	355327	344262	329170	339297	346278	321988	306336	288313	328330	285600	289317	282708	291797	258741	242895	252031	255892	231385	229737	222286	228035	212313	207362	196092	204005
Bauen & Renovieren		45472	-0.005452225189574257	41350			47512	47514	42830	39256	39598	36438	37438	27161	37293	41744	40963	33733	44002	42994	35674	36862	42130	38487	41243	45884	31127	44159	42901	42725	39544	37515	37948	36545	38748	39303	33733	38321	36068	33455	35061	36343				34530	32085	27995	32827	29139
PS Das Sport-Motorrad Magazin		85760	-0.01704772998027444	77189			65556	69260	68151	79058	54734	60367	63906	60418	57308	61107	56217	65649	54173	60579	54345	59218	45381	52597	54957	50913	41664	51778	50953	45672	39875	50343	45190	42790	36890	45587	41922	36781	36139	43057	41152	35601	32236	37926	37906	36903	35231	39860	34050	36600
Popcorn		478947	-0.025729075469281375	390352			303342	317254	325106	335098	266592	249311	267443	310659	335402	335550	332826	319467	237167	230613	222443	237371	170058	190066	207551	225789	155905	194059	204124	241163	196951	202848	247468	227321	157641	169428	208546	187388	111509	148354	190994	161347	105155	125159	116891	120072	76640	93046	87896	81882
