title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
PC-Welt		714596	-0.02338088523652445	512048			501904	487273	450595	452325	465630	466473	440686	420530	424556	429906	430380	410313	425594	422118	404170	407278	397372	397203	402192	400223	403367	392423	374549	375158	359271	342877	333271	332299	315685	283671	275977	257317	248038	242258	237527	234120	211022	208603	196541	177923	149947	112092	103912	106836
P.M.		543319	-0.016316531788443906	414079			407016	395120	407037	424430	411593	406466	408338	419699	410999	398393	398093	382405	364506	357889	359381	375598	340464	337162	339843	354022	343001	327870	337978	344928	320708	304961	286961	326759	283598	287908	281473	290843	257835	242020	251285	255178	230538	227812	221509	227286	211116	206425	195166	203114
Bauen & Renovieren		44736	-0.006250526837866727	40892			47032	47032	42428	38066	38318	34558	36962	25791	35799	40289	40001	33272	42799	41561	35244	35431	40322	35080	39831	41776	26972	41761	42294	39392	37764	35685	36638	35734	37436	37690	32423	35508	35048	30518	32897	35240				32647	31251	26213	31584	27934
PS Das Sport-Motorrad Magazin		84426	-0.017243148446159512	76332			64632	68205	67045	78000	53242	59340	62795	59278	56228	59313	54906	64279	52847	59393	53020	57925	44138	51321	53789	49682	40536	50597	49739	44656	39009	49204	44208	41878	36004	44166	40962	35882	35324	42258	40290	34745	31327	37159	37017	36040	34374	39024	33156	35731
Popcorn		475612	-0.02571315232002542	388130			301353	315311	323223	333274	264822	247564	265729	308989	333724	333891	331153	317758	235386	228825	220678	235587	168329	188349	205863	223878	154013	191349	202273	239369	189990	201507	246608	226662	157036	168802	207917	186801	110936	147797	190436	160798	104609	124613	116492	119624	76142	92554	87380	81439
Paulinus		62532	-0.018114801063552254	48024			47178	46440	46130	46064	46006	44873	44807	44708	44386	43306	42557	42235	42133	41410	41412	41548	41472	39623	38973	38798	38002	35514	34578	34315	33586	31984	30812	29853	29307	28596	28040	27657	27279	26737	26126	25575	25107	24476	24237	23799	23603	23302	23328	
Playboy		318085	-0.008010490430968695	293536			261581	302391	245179	256269	278095	279224	250559	251304	317743	266746	271116	255082	290631	268973	266847	250475	306401	265582	242466	233411	281888	252442	213049	209714	256866	242301	209933	211708	259443	222851	212003	216158	269738	225400	208249	213707	264381	214826	205999	203609	227131	174681	176515	177342
Der Pilger		31349	-0.00873696549866312	28467			28200	27859	27470	27109	26903	26443	26030	25660	26101	26111	25687	25491	26714	24926	24936	24855	24988	24374	24297	24325	24436	24387	24334	24100	23886	23461	23049	22174	21456	21635	21715	21352	21288	21375	21610	20473	21192	20234	19495	19575	20530	19024	18404	18199
profi-Magazin für Agrartechnik		44011	0.009568491853040229	48526			49054	49178	50922	50145	50362	51511	51791	50996	50923	53099	55416	54874	54457	54284	54904	56123	56432	59854	61379	60360	60696	63273	63368	62202	62185	63842	65725	64456	64544	65899	66992	66629	66171	69174	69601	68784	69213	69757	70234	69338	69223	73460	73620	72297
Reiter Revue International		37830	-0.0028533250962293425	39618			41033	40997	37178	33595	39167	37248	36596	42714	37658	34227	35195	32296	33634	33385	34886	32814	36852	31990	34342	31853	33822	32121	31186	29813	28097	30834	33365	30233	31775	29032	29483	29763	33803	31918	35032	30112	35195	35106	33709	31580	31059	36628	38457	43711
